file_name,file_path,deliverable_type,is_final_deliverable,description,source_template,is_display_schema_node_summary
hierarchy_tree_nodes.csv,D:\产业链建模\rag\outputs\final_hierarchy_tree_20260713_151607\hierarchy_tree_nodes.csv,hierarchy_tree_data,true,层级树节点数据,document_driven,1/13
hierarchy_tree_edges.csv,D:\产业链建模\rag\outputs\final_hierarchy_tree_20260713_151607\hierarchy_tree_edges.csv,hierarchy_tree_data,true,层级树边数据,document_driven,1/13
refined_hierarchy_tree_nodes.csv,D:\产业链建模\rag\outputs\final_hierarchy_tree_20260713_151607\refined_hierarchy_tree_nodes.csv,hierarchy_tree_data,true,refinement后层级树节点数据,document_driven,1/13
refined_hierarchy_tree_edges.csv,D:\产业链建模\rag\outputs\final_hierarchy_tree_20260713_151607\refined_hierarchy_tree_edges.csv,hierarchy_tree_data,true,refinement后层级树边数据,document_driven,1/13
refined_hierarchy_tree_data.json,D:\产业链建模\rag\outputs\final_hierarchy_tree_20260713_151607\refined_hierarchy_tree_data.json,data_export,true,refinement后完整树结构JSON,document_driven,1/13
industry_chain_tree.png,D:\产业链建模\rag\outputs\final_hierarchy_tree_20260713_151607\industry_chain_tree.png,visualization,true,最终多级结构图PNG,document_driven,1/13
industry_chain_tree.svg,D:\产业链建模\rag\outputs\final_hierarchy_tree_20260713_151607\industry_chain_tree.svg,visualization,true,最终多级结构图SVG,document_driven,1/13
industry_chain_tree.html,D:\产业链建模\rag\outputs\final_hierarchy_tree_20260713_151607\industry_chain_tree.html,visualization,true,最终多级结构图HTML,document_driven,1/13
hierarchy_tree_report.md,D:\产业链建模\rag\outputs\final_hierarchy_tree_20260713_151607\hierarchy_tree_report.md,report,true,重构说明报告,document_driven,1/13
template_application_report.md,D:\产业链建模\rag\outputs\final_hierarchy_tree_20260713_151607\template_application_report.md,report,true,模板应用报告,document_driven,1/13
unclassified_entities.csv,D:\产业链建模\rag\outputs\final_hierarchy_tree_20260713_151607\unclassified_entities.csv,data_export,true,未分类实体,document_driven,1/13
hierarchy_tree_data.json,D:\产业链建模\rag\outputs\final_hierarchy_tree_20260713_151607\hierarchy_tree_data.json,data_export,true,完整树结构JSON,document_driven,1/13
dynamic_template_debug.json,D:\产业链建模\rag\outputs\final_hierarchy_tree_20260713_151607\dynamic_template_debug.json,data_export,true,动态模板调试信息,document_driven,1/13
template_quality_report.csv,D:\产业链建模\rag\outputs\final_hierarchy_tree_20260713_151607\template_quality_report.csv,report,true,模板质量报告,document_driven,1/13
hierarchy_refinement_report.md,D:\产业链建模\rag\outputs\final_hierarchy_tree_20260713_151607\hierarchy_refinement_report.md,report,true,层级树refinement报告,document_driven,1/13
hierarchy_refinement_run.log,D:\产业链建模\rag\outputs\final_hierarchy_tree_20260713_151607\hierarchy_refinement_run.log,log,true,层级树refinement运行日志,document_driven,1/13
hierarchy_refinement_debug.json,D:\产业链建模\rag\outputs\final_hierarchy_tree_20260713_151607\hierarchy_refinement_debug.json,data_export,true,层级树refinement调试信息,document_driven,1/13
hierarchy_parent_child_fixes.csv,D:\产业链建模\rag\outputs\final_hierarchy_tree_20260713_151607\hierarchy_parent_child_fixes.csv,data_export,true,父子层级修复记录,document_driven,1/13
hierarchy_removed_nodes.csv,D:\产业链建模\rag\outputs\final_hierarchy_tree_20260713_151607\hierarchy_removed_nodes.csv,data_export,true,删除节点记录,document_driven,1/13
hierarchy_quality_report.csv,D:\产业链建模\rag\outputs\final_hierarchy_tree_20260713_151607\hierarchy_quality_report.csv,report,true,refinement质量报告,document_driven,1/13
